ohnolog,other,value,type,key,DGDVS,PG0-0,PG0-1,PG0-2,PG0-3,PG0-4,PG0-5,PG0-6,PG0-7,PG1-0,PG1-1,PG1-2,PG1-3,PG1-4,PG1-5,PG1-6,PG1-7,PG1-8,PG1-9,PG1-10,PG1-11,PG1-12,PG1-13,PG1-14,PG2-0,PG2-1,PG2-2,PG2-3,PG2-4,PG2-5,PG2-6,PG2-7,PG3-0,PG3-1,PG3-2,PG3-3,PG3-4,PG3-5,PG3-6,PG3-7,PG4-0,PG4-1,PG4-2,PG4-3,PG4-4,PG5-0,PG5-1,PG5-2,PG5-3,PG5-4,PG5-5,PG5-6,PG5-7,PG5-8,PG5-9,PG5-10,PG5-11,PG5-12,PG5-13,PG5-14
iclR,yjjQ,,,,0.7119418432041271,4,3,2,2,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,17,117,6,6,0,0,0,0,6,12,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0
dctR,slp,,,,1.0,0,0,4,4,0,0,0,4,0,0,7,7,0,0,0,0,0,0,0,7,0,7,0,140,140,0,0,0,0,140,0,0,0,6,6,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ftnB,kbp,,,,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ccp,purM,,,,0.9981971013123438,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,114,0,0,0,0,100,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dmsD,ynfE,,,,1.0,0,0,2,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,164,164,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
entS,fecE,,,,1.0,0,0,1,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,3,0,3,0,68,68,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
mlrA,rstA,,,,0.8094693254144212,10,5,1,1,0,0,4,0,23,22,5,0,6,5,0,0,0,0,21,0,21,0,0,13,19,84,14,0,0,0,3,33,37,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ccmF,glcF,,,,0.9433278626050853,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,94,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
entE,fecB,,,,1.0,0,0,1,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,3,0,3,0,68,68,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
fnr,proV,,,,0.9995952380759,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,272,0,0,0,0,163,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entH,fecD,,,,1.0,0,0,1,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,3,0,3,0,68,68,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
prpB,rmf,,,,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
envZ,gcd,,,,1.0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,454,0,0,0,0,454,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epd,fbaA,,,,1.0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,321,0,0,0,0,321,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
