protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
hal9,tbs1,204,ohnologue,375,773,84,20,767,84,19,2512,801,85,2080,727,31,193,125,12,112,91,1,1,0,0,1,0,0,18,0,0,18,0,0,199,0,0,199,0,0,31,20,4,16,9,1,2,0,0,2,0,0,40,9,0,40,9,0,1228,219,0,1228,219,0
ace2,swi5,204,ohnologue,6715,127030,20488,16626,20033,10455,1938,34535,20065,9737,8929,7926,2192,220,349,84,147,219,44,370,55,47,199,47,20,181,68,14,127,53,6,31852,4264,1639,8302,2219,266,40,51,16,30,36,13,22,6,1,2,2,0,844,335,37,540,266,18,25791,10667,1443,23277,10232,1298
msn4,msn2,192,ohnologue,5940,27337,61134,21606,11090,15533,5586,39693,62413,19099,11731,12152,2454,859,1406,204,358,506,34,69,215,42,48,135,29,292,858,60,163,445,17,13753,32288,6725,6473,10382,1072,109,128,34,66,75,14,18,45,1,1,2,0,595,1377,58,351,623,5,18450,40876,2505,16568,34412,1623
cup9,tos8,178,ohnologue,1444,4258,993,40,3587,986,27,18649,4515,661,7086,3604,166,1089,581,320,457,328,77,8,2,0,8,2,0,174,7,0,138,7,0,2075,60,0,1911,60,0,130,98,62,75,67,28,7,1,0,3,1,0,172,84,0,136,84,0,5489,2822,36,5323,2822,36
aca1,cst6,155,ohnologue,2981,294,34593,51,294,11144,7,4458,29584,1391,3535,8657,189,616,289,86,335,130,14,1,77,0,1,57,0,0,135,0,0,102,0,0,13187,0,0,6286,0,95,39,17,63,19,4,0,13,0,0,1,0,23,366,0,23,230,0,779,11322,0,779,10331,0
yap7,yap5,151,ohnologue,1542,1850,4541,31,1804,4048,24,2074,9875,203,1721,5888,21,31,450,5,29,269,0,2,15,0,2,14,0,0,65,0,0,53,0,0,1071,0,0,910,0,8,72,2,7,47,0,0,4,0,0,2,0,26,144,0,26,124,0,777,4545,3,777,4425,3
phd1,sok2,137,ohnologue,3020,7645,43954,4094,6861,19117,734,18605,31425,6716,8129,10721,1587,1498,676,329,492,371,78,69,182,45,69,135,31,476,485,124,341,344,63,4799,20630,2029,4543,11395,744,186,82,51,87,50,20,18,32,1,4,10,0,585,845,48,461,548,25,17577,25526,1985,17022,23346,1869
cin5,yap6,134,ohnologue,3156,30308,10492,4068,14643,8476,1053,25983,17377,5886,8069,8948,1576,471,783,199,240,360,61,116,79,38,84,78,22,239,308,59,165,254,38,11998,4187,1163,5465,3824,511,92,125,50,54,78,23,15,12,1,2,1,0,526,421,30,360,323,20,16154,13137,1140,14774,12718,1094
smp1,rlm1,127,ohnologue,991,602,1679,10,599,1589,10,3762,9316,606,3249,5683,243,477,521,152,223,278,29,2,4,0,2,4,0,17,42,0,17,34,0,154,675,0,154,658,0,83,70,36,45,40,8,2,3,0,2,1,0,80,78,0,80,69,0,2457,2568,2,2457,2541,2
eds1,rgt1,126,ohnologue,629,75,1324,5,75,1216,3,1270,5323,145,1155,3343,28,192,224,45,121,98,5,0,9,0,0,9,0,0,17,0,0,12,0,0,301,0,0,292,0,34,48,15,21,23,4,0,1,0,0,0,0,17,52,0,17,40,0,498,1711,18,498,1675,18
wtm1,wtm2,597,paralogue,353,136,207,0,136,205,0,3350,4087,209,2791,3404,98,1318,1047,393,482,441,88,0,1,0,0,1,0,32,51,0,32,49,0,107,104,0,107,104,0,141,123,53,94,71,24,3,2,0,3,1,0,50,45,0,50,45,0,1365,1316,2,1365,1316,2
ume1,wtm2,336,ohnologue,170,0,207,0,0,205,0,7,4087,0,7,3404,0,234,1047,50,150,441,7,0,1,0,0,1,0,0,51,0,0,49,0,0,104,0,0,104,0,27,123,6,19,71,1,0,2,0,0,1,0,0,45,0,0,45,0,0,1316,0,0,1316,0
yrm1,yrr1,378,paralogue,3309,34929,2460,713,16302,2303,309,10789,5769,1331,4280,4060,366,55,210,15,39,117,1,97,10,3,74,10,3,19,36,0,18,36,0,3134,1154,0,2913,1153,0,12,42,5,9,25,2,4,4,1,2,3,1,149,71,8,113,65,8,4769,2299,352,4538,2290,352
pdr8,yrr1,131,ohnologue,768,64,2460,0,64,2303,0,581,5769,84,539,4060,36,145,210,31,98,117,17,0,10,0,0,10,0,0,36,0,0,36,0,0,1154,0,0,1153,0,27,42,8,15,25,4,0,4,0,0,3,0,19,71,0,19,65,0,439,2299,1,439,2290,1
pdr8,yrr1,131,ohnologue,768,64,2460,0,64,2303,0,581,5769,84,539,4060,36,145,210,31,98,117,17,0,10,0,0,10,0,0,36,0,0,36,0,0,1154,0,0,1153,0,27,42,8,15,25,4,0,4,0,0,3,0,19,71,0,19,65,0,439,2299,1,439,2290,1
mal13,mal33,702,paralogue,706,111,4063,15,111,3752,5,600,7257,109,558,4865,25,154,332,45,91,185,6,1,16,0,1,16,0,11,22,0,11,22,0,41,868,0,41,867,0,30,47,15,15,24,4,2,3,0,2,1,0,25,160,0,25,142,0,719,5278,6,719,5173,6
isw2,isw1,471,paralogue,1634,7119,1083,336,5636,1081,236,14155,2851,868,5969,1990,88,279,116,19,153,73,5,16,2,0,16,2,0,56,10,0,51,10,0,2273,275,0,2240,275,0,39,21,5,22,11,2,5,2,0,1,2,0,101,27,0,86,27,0,3208,1098,8,3079,1098,8
gat4,gat3,351,paralogue,652,534,1082,112,534,1059,110,2404,3433,511,2184,2607,340,185,135,42,101,85,16,3,2,1,3,2,1,5,7,5,5,7,5,168,215,71,168,215,71,40,25,12,20,13,4,1,1,0,1,1,0,28,39,0,28,39,0,959,1150,0,959,1150,0
mcm1,arg80,200,paralogue,2063,20709,1663,449,11184,1619,110,16167,5490,510,8436,3950,228,240,486,21,182,266,15,84,5,1,74,5,1,89,49,0,82,42,0,6345,368,0,4998,351,0,24,59,2,22,29,2,10,4,0,3,3,0,305,127,0,244,116,0,9175,4039,13,8953,3983,13
hst4,hst3,183,paralogue,287,169,42,0,169,42,0,991,1867,18,910,1683,5,161,336,41,106,190,10,1,0,0,1,0,0,10,11,0,10,11,0,45,7,0,45,7,0,38,48,14,26,27,5,1,1,0,1,1,0,32,3,0,32,3,0,795,274,0,795,274,0
hat2,msi1,154,paralogue,724,1408,607,13,1396,604,13,4276,1508,92,3179,1344,21,145,84,14,92,56,2,5,2,0,5,2,0,11,0,0,11,0,0,161,0,0,161,0,0,28,10,5,16,5,1,1,0,0,1,0,0,32,26,0,32,26,0,1037,855,0,1037,855,0
gat1,gln3,101,paralogue,1222,356,7302,47,356,5732,46,3462,8968,434,2994,4798,109,791,130,36,341,78,0,0,34,0,0,31,0,57,29,0,57,25,0,192,2012,0,192,1882,0,107,20,10,51,11,0,4,4,0,4,1,0,68,121,0,68,103,0,2046,3729,25,2046,3636,25
